time(s),joint1,joint2,joint3,joint4,joint5,joint6,joint7,wheel_joint_left,wheel_joint_right
3.386,-1.52557e-07,8.84484e-06,-3.31155e-06,-1.08615e-05,1.67418e-06,-1.18108e-08,0.113076,6.47447e-07,1.04585e-06
3.406,-1.52463e-07,8.83607e-06,-3.31396e-06,-1.09121e-05,1.6802e-06,-1.18537e-08,0.149677,6.52703e-07,1.05286e-06
3.426,-1.52362e-07,8.82725e-06,-3.31561e-06,-1.09603e-05,1.68556e-06,-1.1894e-08,0.223637,6.5796e-07,1.05987e-06
3.446,-1.51984e-07,8.80747e-06,-3.31416e-06,-1.1005e-05,1.68835e-06,-1.19495e-08,0.301645,6.63218e-07,1.0669e-06
3.466,-1.51571e-07,8.78598e-06,-3.31326e-06,-1.10475e-05,1.69102e-06,-1.20137e-08,0.361227,6.68476e-07,1.07394e-06
3.486,-1.51375e-07,8.77286e-06,-3.31539e-06,-1.10919e-05,1.69609e-06,-1.20738e-08,0.391328,6.73736e-07,1.081e-06
3.506,-1.51175e-07,8.75937e-06,-3.3177e-06,-1.11363e-05,1.70107e-06,-1.21377e-08,0.429587,6.78996e-07,1.08807e-06
3.526,-1.536e-07,-6.1075e-06,-3.30792e-06,-1.0613e-05,1.65483e-06,-1.17086e-08,0.433055,6.83938e-07,1.0953e-06
3.546,-1.54094e-07,-6.1248e-06,-3.30955e-06,-1.06624e-05,1.65974e-06,-1.17422e-08,0.430277,6.88959e-07,1.10251e-06
3.566,-1.50042e-07,8.74615e-06,-3.27778e-06,-1.08424e-05,1.64865e-06,-1.1853e-08,0.4189,6.94218e-07,1.1095e-06
3.586,-1.54471e-07,-6.13928e-06,-3.31413e-06,-1.06717e-05,1.6644e-06,-1.17255e-08,0.373397,6.99235e-07,1.11671e-06
3.606,-1.50855e-07,8.77881e-06,-3.28678e-06,-1.08523e-05,1.65703e-06,-1.18254e-08,0.338193,7.04492e-07,1.1237e-06
3.626,-1.5139e-07,8.79467e-06,-3.29832e-06,-1.09064e-05,1.66969e-06,-1.1862e-08,0.273523,7.0975e-07,1.1307e-06
3.646,-1.69638e-07,-5.99762e-06,-3.0891e-06,-1.14447e-05,1.72561e-06,-1.23365e-08,0.204247,7.14992e-07,1.13779e-06
3.666,-1.71005e-07,-5.9582e-06,-3.10272e-06,-1.15428e-05,1.74605e-06,-1.24353e-08,0.133538,7.20206e-07,1.14475e-06
